ingredient,par_level,unit,reorder_threshold,typical_lead_time_days
agar agar,1083,g,433,3
aquafaba,715,ml,286,3
baby corn,3460,g,1297,1
bamboo skewers,8,pc,3,5
banana,228,pc,85,1
batter mix,8848,g,3318,3
bean curd sheets,6176,g,2470,2
bean sprouts,3008,g,1128,1
bell peppers,3812,g,1429,1
black bean sauce,2153,ml,861,2
blackberry puree,1662,ml,664,3
bok choy,4012,g,1504,1
broccoli,2863,g,1073,1
brown rice,6554,g,2457,3
brown sugar syrup,3269,ml,1307,2
button mushrooms,4107,g,1540,1
cabbage,3329,g,1248,1
carrots,4214,g,1580,1
cashews,1185,g,474,3
cauliflower,2815,g,1055,1
celery,4733,g,1775,1
chai concentrate,2237,ml,895,3
chili,452,g,180,2
chili bean paste,2379,g,951,2
chili peppers,5097,g,1911,1
chili sauce,2705,ml,1082,2
chinese eggplant,3022,g,1133,1
chinese radish,3032,g,1137,1
chocolate mix,2416,g,966,3
chocolate syrup,3186,ml,1274,2
cilantro,592,g,236,2
coconut cream,5689,ml,2275,2
coconut ice cream,1021,g,408,3
coconut milk,6419,ml,2567,2
coconut sauce,2781,ml,1112,2
cooking oil,10312,ml,4124,7
cucumber,4790,g,1796,1
curry dipping sauce,3213,ml,1285,2
curry powder,608,g,243,2
dark chocolate,1046,g,418,3
decaf espresso,112,shots,44,3
earl grey tea,1454,g,581,3
egg-style noodles,6693,g,2510,3
enoki mushrooms,3494,g,1310,1
espresso,74,shots,29,3
firm tofu,4198,g,1679,2
flat rice noodles,6084,g,2281,3
fried tofu,4333,g,1733,2
galangal,540,g,216,2
garlic,459,g,183,2
gaylan (chinese broccoli),3688,g,1383,1
general tao sauce,2477,ml,990,2
ginger,430,g,172,2
ginger sauce,3785,ml,1514,2
glass noodles,8710,g,3266,3
green beans,4261,g,1598,1
green peas,3210,g,1204,1
green tea,2274,g,909,3
hakka noodles,6384,g,2394,3
hibiscus tea,1855,g,742,3
hot sauce,3881,ml,1552,2
island spice blend,541,g,216,2
jasmine rice,8273,g,3102,3
kecap manis,3332,ml,1332,2
king oyster mushroom,4822,g,1808,1
kung pao sauce,3496,ml,1398,2
lemongrass,20,stalks,8,2
lime juice,1438,ml,575,3
lime leaves,22,pc,8,2
lychee syrup,1721,ml,688,3
mango chili dip,2479,ml,991,2
matcha powder,2531,g,1012,3
miso aioli,3677,ml,1470,2
mixed diced vegetables,3555,g,1333,1
mixed vegetables,4373,g,1639,1
mushrooms,3749,g,1406,1
napa cabbage,4994,g,1873,1
oat milk,4876,ml,1950,2
organic tea leaves,1717,g,687,3
oyster mushroom,3391,g,1271,1
oyster mushroom sauce,3110,ml,1244,2
passion fruit puree,1715,ml,686,3
peanut dressing,3152,ml,1260,2
peanut sauce,3716,ml,1486,2
pineapple,3758,g,1409,1
pineapple juice,1663,ml,665,3
plum dipping sauce,3895,ml,1558,2
potatoes,4022,g,1508,1
purple cabbage,3018,g,1131,1
raspberry syrup,1456,ml,582,3
red curry paste,2297,g,918,2
rendang paste,3229,g,1291,2
rice cake,9401,g,3525,3
rice vermicelli,7626,g,2859,3
romaine lettuce,2952,g,1107,1
roti dough,7431,g,2786,3
satay marinade,3893,ml,1557,2
seasonal vegetables,4069,g,1526,1
seasoning blend,641,g,256,2
sesame seeds,1216,g,486,3
shallots,353,g,141,2
shimeji mushrooms,4529,g,1698,1
shredded vegetables,4436,g,1663,1
sichuan peppercorn,511,g,204,2
silken tofu,4300,g,1720,2
soft drink can,108,can,43,3
soy milk,3834,ml,1533,2
soy sauce,2882,ml,1153,2
sparkling water,1944,ml,777,3
spinach,5089,g,1908,1
spring roll wrappers,490,pc,183,3
stir-fry sauce,2574,ml,1029,2
strawberry puree,2000,ml,800,3
sweet & sour sauce,2421,ml,968,2
sweet chili sauce,3742,ml,1497,2
tempeh,6111,g,2444,2
tempura batter,7032,g,2637,3
teriyaki sauce,3250,ml,1300,2
tom yum paste,3196,g,1278,2
tomatoes,3166,g,1187,1
vanilla extract,1157,ml,463,3
vanilla syrup,3070,ml,1228,2
vegan beef strips,5835,g,2334,2
vegan broth,3054,ml,1221,2
vegan cheesecake base,35,slice,14,3
vegan chicken,4472,g,1788,2
vegan fish sauce,2135,ml,854,2
vegan ground meat,6287,g,2514,2
vegan ice cream,1227,g,490,3
vegan mutton,5994,g,2397,2
vegan seafood mix,4422,g,1769,2
vegan shrimp,3673,g,1469,2
wonton filling,6134,g,2453,2
wonton wrappers,507,pc,190,3
yellow coconut curry sauce,2254,ml,901,2
yuzu juice,1983,ml,793,3
