order_item_id,order_id,menu_item_id,item_name,category,quantity,unit_price,modifier,line_total
1,1,45,Bali Buddha Bowl,Rice & Noodles,1,18.00,,18.00
2,1,51,Soy Latte,Coffee,1,5.50,,5.50
3,1,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Chicken,18.00
4,1,49,Lunch Special,Lunch Special,1,18.00,Entree: Padmanadi Veg Deluxe,18.00
5,1,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
6,1,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
7,2,40,Bakmi Goreng,Rice & Noodles,1,19.00,Extra Sauce,19.00
8,2,50,Americano,Coffee,1,4.50,,4.50
9,2,49,Lunch Special,Lunch Special,1,18.00,Entree: Teriyaki Chicken,18.00
10,2,63,Iced Pineapple,Drinks,1,7.50,,7.50
11,2,49,Lunch Special,Lunch Special,1,18.00,Entree: Kung Pao Chicken,18.00
12,2,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
13,2,49,Lunch Special,Lunch Special,1,18.00,Entree: Teriyaki Chicken,18.00
14,2,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
15,2,66,Assorted Soft Drinks,Drinks,1,2.50,,2.50
16,2,21,Mapo Tofu,Veggie & Tofu,1,19.00,Gluten Friendly,19.00
17,2,34,Curry Mutton,Plant-Based Meat,1,22.00,,22.00
18,2,28,Ginger Beef,Plant-Based Meat,1,21.00,,21.00
19,2,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
20,2,4,Satay with Peanut Sauce (3pc),Starters,1,10.00,,10.00
21,3,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Mutton,18.00
22,3,52,Soy Mocha,Coffee,1,6.00,,6.00
23,3,33,Curry Chicken,Plant-Based Meat,1,22.00,No Mushrooms,22.00
24,3,60,Matcha Latte,Tea,1,6.50,,6.50
25,3,12,Wonton Soup,Soups,1,18.00,Allergy: Nuts,18.00
26,3,64,Sparkling Yuzu,Drinks,1,8.50,,8.50
27,3,49,Lunch Special,Lunch Special,1,18.00,Entree: Rendang,18.00
28,3,69,Cheesecake,Desserts,1,11.00,,11.00
29,3,69,Cheesecake,Desserts,1,11.00,,11.00
30,4,49,Lunch Special,Lunch Special,1,18.00,Entree: Ginger Beef,18.00
31,4,28,Ginger Beef,Plant-Based Meat,1,21.00,Extra Spicy,21.00
32,4,42,Kwetiau Goreng,Rice & Noodles,1,19.00,,19.00
33,4,50,Americano,Coffee,1,4.50,,4.50
34,4,19,Savory Eggplant,Veggie & Tofu,1,18.00,No Onion,18.00
35,4,46,Jasmine Rice,Sides,1,2.75,,2.75
36,4,56,Organic Tea,Tea,1,3.50,,3.50
37,4,49,Lunch Special,Lunch Special,1,18.00,Entree: Curried Tofu w/ Vegetables,18.00
38,4,77,Sub Coconut Rice (+1),Extras,1,1.00,,1.00
39,4,68,Iced Blackberry Hibiscus Tea,Drinks,1,7.00,,7.00
40,5,14,Spicy Curry Noodle Soup,Soups,1,18.00,,18.00
41,5,38,Rendang,Plant-Based Meat,1,20.00,No Peanuts,20.00
42,5,47,Coconut Rice,Sides,1,3.00,,3.00
43,5,49,Lunch Special,Lunch Special,1,18.00,Entree: Curry Chicken,18.00
44,5,56,Organic Tea,Tea,1,3.50,,3.50
45,5,49,Lunch Special,Lunch Special,1,18.00,Entree: Kung Pao Chicken,18.00
