order_id,order_number,order_date,created_at,closed_at,order_type,table_number,party_size,server_id,subtotal,discount_amount,discount_reason,gst,tip,total,payment_method,card_brand,card_last_four,delivery_platform,status
1,#001,2026-05-01,2026-05-01 11:32:30,2026-05-01 12:32:30,dine_in,5,3,7,70.50,0.00,,3.53,14.10,88.13,Debit,Interac Debit,6642,,completed
2,#002,2026-05-01,2026-05-01 11:58:02,2026-05-01 13:05:02,dine_in,13,7,1,170.00,0.00,,8.50,25.50,204.00,Mobile,Apple Pay,9161,,completed
3,#003,2026-05-01,2026-05-01 11:08:17,2026-05-01 11:59:17,dine_in,6,4,7,119.00,0.00,,5.95,0.00,0.00,Mobile,Google Pay,9938,,voided
4,#004,2026-05-01,2026-05-01 11:07:20,2026-05-01 11:56:20,dine_in,9,5,2,112.75,0.00,,5.64,16.91,135.30,Credit,Mastercard,0356,,completed
5,#005,2026-05-01,2026-05-01 11:20:02,2026-05-01 11:58:02,dine_in,9,4,2,89.50,0.00,,4.48,16.11,110.09,Credit,Visa,8422,,completed
6,#006,2026-05-01,2026-05-01 11:10:06,2026-05-01 11:50:06,dine_in,6,2,2,49.00,0.00,,2.45,7.35,58.80,Cash,,,,completed
7,#007,2026-05-01,2026-05-01 11:08:11,2026-05-01 11:56:11,dine_in,13,2,7,48.00,0.00,,2.40,7.20,57.60,Debit,Interac Debit,5413,,completed
8,#008,2026-05-01,2026-05-01 11:51:57,2026-05-01 12:06:57,delivery,,3,5,87.50,0.00,,4.38,0.00,91.88,Debit,Interac Debit,9785,DoorDash,completed
9,#009,2026-05-01,2026-05-01 12:00:39,2026-05-01 12:20:39,takeout,,2,5,76.50,10.00,Yelp check-in,3.33,3.33,73.16,Mobile,Google Pay,0435,,completed
10,#010,2026-05-01,2026-05-01 12:33:11,2026-05-01 13:18:11,dine_in,9,5,7,120.50,0.00,,6.03,18.07,144.60,Credit,Visa,8519,,completed
11,#011,2026-05-01,2026-05-01 12:24:17,2026-05-01 13:29:17,dine_in,5,3,7,87.00,0.00,,4.35,15.66,107.01,Mobile,Google Pay,2568,,completed
12,#012,2026-05-01,2026-05-01 12:12:49,2026-05-01 12:52:49,dine_in,8,4,8,90.75,0.00,,4.54,0.00,95.29,Mobile,Google Pay,4712,,completed
13,#013,2026-05-01,2026-05-01 12:36:27,2026-05-01 12:41:27,delivery,,3,5,108.50,0.00,,5.43,0.00,113.93,Cash,,,DoorDash,completed
14,#014,2026-05-01,2026-05-01 12:26:04,2026-05-01 12:40:04,delivery,,1,1,18.00,0.00,,0.90,0.00,18.90,Credit,Interac Debit,5836,SkipTheDishes,completed
15,#015,2026-05-01,2026-05-01 12:39:40,2026-05-01 12:56:40,takeout,,3,1,89.00,0.00,,4.45,4.45,97.90,Mobile,Google Pay,0419,,completed
16,#016,2026-05-01,2026-05-01 12:17:29,2026-05-01 13:13:29,dine_in,13,5,1,114.75,0.00,,5.74,20.65,141.14,Mobile,Apple Pay,6587,,completed
17,#017,2026-05-01,2026-05-01 12:29:28,2026-05-01 13:40:28,dine_in,15,2,7,61.00,0.00,,3.05,9.15,73.20,Mobile,Apple Pay,6587,,completed
18,#018,2026-05-01,2026-05-01 12:52:23,2026-05-01 12:57:23,delivery,,2,2,52.00,0.00,,2.60,0.00,54.60,Credit,Mastercard,2134,UberEats,completed
19,#019,2026-05-01,2026-05-01 12:21:52,2026-05-01 13:35:52,dine_in,9,4,8,92.00,0.00,,4.60,18.40,115.00,Debit,Interac Debit,3965,,completed
20,#020,2026-05-01,2026-05-01 12:21:12,2026-05-01 13:29:12,dine_in,8,4,5,109.75,0.00,,5.49,21.95,137.19,Credit,Interac Debit,2798,,completed
21,#021,2026-05-01,2026-05-01 13:30:55,2026-05-01 13:39:55,delivery,,1,2,26.50,0.00,,1.33,0.00,27.83,Cash,,,UberEats,completed
22,#022,2026-05-01,2026-05-01 13:04:19,2026-05-01 13:11:19,delivery,,1,4,20.00,0.00,,1.00,0.00,21.00,Credit,Visa,1844,SkipTheDishes,completed
23,#023,2026-05-01,2026-05-01 13:18:14,2026-05-01 13:25:14,delivery,,2,7,54.00,0.00,,2.70,0.00,56.70,Mobile,Google Pay,3090,DoorDash,completed
24,#024,2026-05-01,2026-05-01 13:34:24,2026-05-01 14:17:24,dine_in,13,4,2,127.50,0.00,,6.38,25.50,159.38,Debit,Interac Debit,9596,,completed
